Category,Question Type,Difficulty,Question,Probable Answers,Actual Answer
History,multiple,Easy,"In 1939, Britain and France declared war on Germany after it invaded which country?","['Austria', 'Czechoslovakia', 'Hungary', 'Poland']",Poland
Mythology,multiple,Easy,The Nike apparel and footwear brand takes it&#039;s name from the Greek goddess of what?,"['Courage', 'Honor', 'Strength', 'Victory']",Victory
General Knowledge,multiple,Easy,When someone is inexperienced they are said to be what color?,"['Blue', 'Green', 'Red', 'Yellow']",Green
Mythology,multiple,Easy,What mythology did the god &quot;Apollo&quot; come from?,"['Greek and Chinese', 'Greek and Roman', 'Greek, Roman and Norse', 'Roman and Spanish']",Greek and Roman
Sports,multiple,Easy,Which team has won the most Stanley Cups in the NHL?,"['Chicago Blackhawks', 'Detroit Red Wings', 'Montreal Canadians', 'Toronto Maple Leafs']",Montreal Canadians
History,multiple,Easy,Who was the first president of the United States?,"['George Washington', 'James K. Polk', 'James Madison', 'Thomas Jefferson']",George Washington
Sports,multiple,Easy,Which year did Jenson Button won his first ever Formula One World Drivers&#039; Championship?,"['2006', '2007', '2009', '2010']",2009
Sports,multiple,Easy,In what sport is a &quot;shuttlecock&quot; used?,"['Badminton', 'Cricket', 'Rugby', 'Table Tennis']",Badminton
Geography,multiple,Easy,What is the capital of Jamaica?,"['Bridgetown', 'Kingston', 'Port-au-Prince', 'San Juan']",Kingston
Geography,multiple,Easy,How many time zones does China have?,"['1', '2', '3', '4']",1
General Knowledge,multiple,Easy,Which of the following is the IATA code for Manchester Airport?,"['EGCC', 'EGLL', 'LHR', 'MAN']",MAN
History,multiple,Easy,Which German field marshal was known as the `Desert Fox`?,"['Ernst Busch', 'Erwin Rommel', 'Wilhelm List', 'Wolfram Freiherr von Richthofen']",Erwin Rommel
Geography,multiple,Easy,The longest shared border in the world can be found between which two nations?,"['Canada and the United States', 'Chile and Argentina', 'India and Pakistan', 'Russia and China']",Canada and the United States
Sports,multiple,Easy,What is the most common type of pitch thrown by pitchers in baseball?,"['Fastball', 'Palmball', 'Screwball', 'Slowball']",Fastball
General Knowledge,multiple,Easy,Foie gras is a French delicacy typically made from what part of a duck or goose?,"['Heart', 'Intestines', 'Liver', 'Stomach']",Liver
Geography,multiple,Medium,The land mass of modern day Turkey is called what?,"['Anatolia', 'Ismuth of Anatolia', 'Ismuth of Ottoma', 'Ottoma']",Anatolia
Geography,multiple,Medium,How many independent countries are there within the continent of South America?,"['10', '12', '8', '9']",12
History,multiple,Medium,What date was the first flight of the P-40 Warhawk?,"['August 21 1939', 'January 12 1940', 'June 1 1939', 'October 14 1938']",October 14 1938
Geography,multiple,Medium,Which of these countries is &quot;doubly landlocked&quot; (surrounded entirely by one or more landlocked countries)?,"['Bolivia', 'Ethiopia', 'Switzerland', 'Uzbekistan']",Uzbekistan
Geography,multiple,Medium,What city is the Terracotta Army located in?,"['Beijing', 'Hong Kong', 'Shanghai', 'Xi&#039;an']",Xi&#039;an
Science: Gadgets,multiple,Medium,Which company designed the &quot;Betamax&quot; video cassette format?,"['Fujitsu', 'LG', 'Panasonic', 'Sony']",Sony
Science: Computers,multiple,Medium,Nvidia&#039;s headquarters are based in which Silicon Valley city?,"['Cupertino', 'Mountain View', 'Palo Alto', 'Santa Clara']",Santa Clara
Sports,multiple,Medium,Which country is hosting the 2022 FIFA World Cup?,"['Bolivia', 'Qatar', 'Uganda', 'Vietnam']",Qatar
Science: Computers,multiple,Medium,What does &quot;LCD&quot; stand for?,"['Language Control Design', 'Last Common Difference', 'Liquid Crystal Display', 'Long Continuous Design']",Liquid Crystal Display
Geography,multiple,Medium,Broome is a town in which state of Australia?,"['Northern Territory', 'South Australia', 'Tasmania', 'Western Australia']",Western Australia
General Knowledge,multiple,Medium,What is the Portuguese word for &quot;Brazil&quot;?,"['Bras&iacute;l', 'Brasil', 'Brasilia', 'Brazil']",Brasil
Geography,multiple,Medium,In which English county is the city of Portsmouth?,"['Buckinghamshire', 'Hampshire', 'Oxfordshire', 'Surrey']",Hampshire
Sports,multiple,Medium,Which soccer team won the Copa Am&eacute;rica Centenario 2016?,"['Argentina', 'Brazil', 'Chile', 'Colombia']",Chile
Science: Computers,multiple,Medium,The name of technology company HP stands for what?,"['Hellman-Pohl', 'Hewlett-Packard', 'Howard Packmann', 'Husker-Pollosk']",Hewlett-Packard
Mythology,multiple,Medium,"The Hippogriff, not to be confused with the Griffon, is a magical creature with the front half of an eagle, and the back half of what?","['A Dragon', 'A Horse', 'A Lion', 'A Tiger']",A Horse
General Knowledge,multiple,Hard,Nephelococcygia is the practice of doing what?,"['Breaking glass with your voice', 'Finding shapes in clouds', 'Sleeping with your eyes open', 'Swimming in freezing water']",Finding shapes in clouds
History,multiple,Hard,The ancient city of Chich&eacute;n Itz&aacute; was built by which civilization?,"['Aztecs', 'Incas', 'Mayans', 'Toltecs']",Mayans
Geography,multiple,Hard,The Maluku islands (informally known as the Spice Islands) belong to which country?,"['Chile', 'Fiji', 'Indonesia', 'New Zealand']",Indonesia
Sports,multiple,Hard,Who is Manchester United&#039;s leading appearance maker?,"['David Beckham', 'Eric Cantona', 'Ryan Giggs', 'Wayne Rooney']",Ryan Giggs
Animals,multiple,Hard,What bird is born with claws on its wing digits?,"['Cassowary', 'Cormorant', 'Hoatzin', 'Secretary bird']",Hoatzin
Science: Gadgets,multiple,Hard,Which of the following is the standard THX subwoofer crossover frequency?,"['100 Hz', '70 Hz', '80 Hz', '90 Hz']",80 Hz
History,multiple,Hard,"With which Greek philosopher would you associate the phrase, &quot;I know that I know nothing&quot;?","['Aristotle', 'Plato', 'Pythagoras', 'Socrates']",Socrates
History,multiple,Hard,"In addition to his career as an astrologer and &quot;prophet&quot;, Nostradamus published a 1555 treatise that included a section on what?","['Cheating at card games', 'Digging graves', 'Making jams and jellies', 'Teaching parrots to talk']",Making jams and jellies
Geography,multiple,Hard,"What is the name of the formerly rich fishing grounds off the island of Newfoundland, Canada?","['Grand Banks', 'Great Barrier Reef', 'Hudson Bay', 'Mariana Trench']",Grand Banks
History,multiple,Hard,What was the real name of the Albanian national leader Skanderbeg?,"['Diturak Zhulati', 'Gjergj Kastrioti', 'Iskander Bejko', 'Mirash Krasniki']",Gjergj Kastrioti
Mythology,multiple,Hard,Which Norse God has a horse named Sleipnir?,"['Balder', 'Frigg', 'Odin', 'Thor']",Odin
General Knowledge,multiple,Hard,Which of the following is not another name for the eggplant?,"['Brinjal', 'Guinea Squash', 'Melongene', 'Potimarron']",Potimarron
History,multiple,Easy,Which German field marshal was known as the `Desert Fox`?,"['Ernst Busch', 'Erwin Rommel', 'Wilhelm List', 'Wolfram Freiherr von Richthofen']",Erwin Rommel
Sports,multiple,Easy,"In bowling, what is the term used for getting three consecutive strikes?","['Birdie', 'Eagle', 'Flamingo', 'Turkey']",Turkey
Geography,multiple,Easy,The body of the Egyptian Sphinx was based on which animal?,"['Bull', 'Dog', 'Horse', 'Lion']",Lion
History,multiple,Easy,The collapse of the Soviet Union took place in which year?,"['1891', '1990', '1991', '1992']",1991
Science: Computers,multiple,Easy,What amount of bits commonly equals one byte?,"['1', '2', '64', '8']",8
Sports,multiple,Easy,"In baseball, how many fouls are an out?","['0', '2', '3', '5']",0
Geography,multiple,Easy,What is the capital of India?,"['Bejing', 'Montreal', 'New Delhi', 'Tithi']",New Delhi
General Knowledge,multiple,Easy,"What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?","['Fat Man', 'Noah&#039;s Ark', 'Spruce Goose', 'Trojan Horse']",Spruce Goose
Geography,multiple,Easy,Which of the following countries has a flag featuring a yellow lion wielding a sword on a dark red background?,"['Bhutan', 'Kiribati', 'Scotland', 'Sri Lanka']",Sri Lanka
Mythology,multiple,Easy,This Greek goddess&#039;s name was chosen for the dwarf planet responsible for discord on Pluto&#039;s classification amongst astronomers.,"['Ceres', 'Charon', 'Dysnomia', 'Eris']",Eris
Science: Computers,multiple,Easy,The numbering system with a radix of 16 is more commonly referred to as ,"['Binary', 'Duodecimal', 'Hexidecimal', 'Octal']",Hexidecimal
General Knowledge,multiple,Easy,Which candy is NOT made by Mars?,"['Almond Joy', 'M&amp;M&#039;s', 'Snickers', 'Twix']",Almond Joy
Geography,multiple,Easy,Which nation claims ownership of Antarctica?,"['Australia', 'No one, but there are claims.', 'United Nations', 'United States of America']","No one, but there are claims."
Geography,multiple,Easy,How many countries does the United States share a land border with?,"['1', '2', '3', '4']",2
General Knowledge,multiple,Easy,How would one say goodbye in Spanish?,"[' Hola', 'Adi&oacute;s', 'Au Revoir', 'Salir']",Adi&oacute;s
Art,multiple,Easy,Who sculpted the statue of David?,"['Auguste Rodin', 'Donatello', 'Gian Lorenzo Bernini', 'Michelangelo']",Michelangelo
Geography,multiple,Easy,Greenland is a part of which kingdom?,"['Denmark', 'Norway', 'Sweden', 'United Kingdom']",Denmark
Science: Computers,multiple,Easy,What does the computer software acronym JVM stand for?,"['Java Vendor Machine', 'Java Virtual Machine', 'Java Visual Machine', 'Just Virtual Machine']",Java Virtual Machine
Geography,multiple,Easy,Which city is the capital of the United States of America?,"['Albany', 'Los Angeles', 'Seattle', 'Washington D.C']",Washington D.C
Geography,multiple,Easy,Which US state has the highest population?,"['California', 'Florida', 'New York', 'Texas']",California
General Knowledge,multiple,Easy,Which of the following is not the host of a program on NPR?,"['Ben Shapiro', 'Ira Glass', 'Peter Sagal', 'Terry Gross']",Ben Shapiro
Science: Gadgets,multiple,Easy,What does SSD stand for in the context of computer storage?,"[' Solid State Drive', 'Secure System Disk', 'Software Storage Device', 'Super Speed Data']", Solid State Drive
Geography,multiple,Easy,The Alps are a mountain range on which continent?,"['Africa', 'Asia', 'Europe', 'North America']",Europe
Science: Computers,multiple,Easy,What language does Node.js use?,"['Java', 'Java Source', 'JavaScript', 'Joomla Source Code']",JavaScript
Science: Computers,multiple,Medium,Approximately how many Apple I personal computers were created?,"['100', '1000', '200', '500']",200
History,multiple,Medium,During what war did the &quot;Cuban Missile Crisis&quot; occur?,"['Cold War', 'Revolutionary War', 'World War I', 'World War II']",Cold War
General Knowledge,multiple,Medium,What fast food chain has the most locations globally? ,"['KFC', 'McDonalds', 'Starbucks', 'Subway']",Subway
History,multiple,Medium,Who tutored Alexander the Great?,"['Aristotle', 'King Philip', 'Plato', 'Socrates']",Aristotle
Art,multiple,Medium,Which artist&#039;s style was to use small different colored dots to create a picture?,"['Georges Seurat', 'Henri Rousseau', 'Paul C&eacute;zanne', 'Vincent Van Gogh']",Georges Seurat
History,multiple,Medium,What was the name of the chemical that was dropped on Vietnam during the Vietnam war?,"['Agent Orange', 'Hydrogen Cyanide', 'Mustard Gas', 'Phosgene']",Agent Orange
Animals,multiple,Medium,What is the collective noun for bears?,"['Drove', 'Husk', 'Sloth', 'Tribe']",Sloth
Sports,multiple,Medium,Which NBA player won Most Valuable Player for the 1999-2000 season?,"['Allen Iverson', 'Kobe Bryant', 'Paul Pierce', 'Shaquille O&#039;Neal']",Shaquille O&#039;Neal
General Knowledge,multiple,Medium,Which logical fallacy means to attack the character of your opponent rather than their arguments?,"['Ad hominem', 'Argumentum ad populum', 'Post hoc ergo propter hoc', 'Tu quoque']",Ad hominem
Geography,multiple,Medium,What African country has Portuguese as its official language?,"['Botswana', 'Gabon', 'Mozambique', 'Togo']",Mozambique
Sports,multiple,Medium,Which German sportswear company&#039;s logo is the &#039;Formstripe&#039;?,"['Adidas', 'Nike', 'Puma', 'Reebok']",Puma
