question,option1,option2,option3,option4,correctAnswer,difficulty
"In 1939, Britain and France declared war on Germany after it invaded which country?",Austria,Czechoslovakia,Hungary,Poland,Poland,Easy
The Nike apparel and footwear brand takes its name from the Greek goddess of what?,Courage,Honor,Strength,Victory,Victory,Easy
When someone is inexperienced they are said to be what color?,Blue,Green,Red,Yellow,Green,Easy
What mythology did the god Apollo come from?,Greek and Chinese,Greek and Roman,"Greek, Roman and Norse",Roman and Spanish,Greek and Roman,Easy
Which team has won the most Stanley Cups in the NHL?,Chicago Blackhawks,Detroit Red Wings,Montreal Canadians,Toronto Maple Leafs,Montreal Canadians,Easy
Who was the first president of the United States?,George Washington,James K. Polk,James Madison,Thomas Jefferson,George Washington,Easy
Which year did Jenson Button won his first ever Formula One World Drivers Championship?,2006,2007,2009,2010,2009,Easy
In what sport is a shuttlecock used?,Badminton,Cricket,Rugby,Table Tennis,Badminton,Easy
What is the capital of Jamaica?,Bridgetown,Kingston,Port-au-Prince,San Juan,Kingston,Easy
How many time zones does China have?,1,2,3,4,1,Easy
Which of the following is the IATA code for Manchester Airport?,EGCC,EGLL,LHR,MAN,MAN,Easy
Which German field marshal was known as the `Desert Fox`?,Ernst Busch,Erwin Rommel,Wilhelm List,Wolfram Freiherr von Richthofen,Erwin Rommel,Easy
The longest shared border in the world can be found between which two nations?,Canada and the United States,Chile and Argentina,India and Pakistan,Russia and China,Canada and the United States,Easy
What is the most common type of pitch thrown by pitchers in baseball?,Fastball,Palmball,Screwball,Slowball,Fastball,Easy
Foie gras is a French delicacy typically made from what part of a duck or goose?,Heart,Intestines,Liver,Stomach,Liver,Easy
The land mass of modern day Turkey is called what?,Anatolia,Ismuth of Anatolia,Ismuth of Ottoma,Ottoma,Anatolia,Medium
How many independent countries are there within the continent of South America?,10,12,8,9,12,Medium
What date was the first flight of the P-40 Warhawk?,August 21 1939,January 12 1940,June 1 1939,October 14 1938,October 14 1938,Medium
Which of these countries is doubly landlocked (surrounded entirely by one or more landlocked countries)?,Bolivia,Ethiopia,Switzerland,Uzbekistan,Uzbekistan,Medium
What city is the Terracotta Army located in?,Beijing,Hong Kong,Shanghai,Xian,Xian,Medium
Which company designed the Betamax video cassette format?,Fujitsu,LG,Panasonic,Sony,Sony,Medium
Nvidias headquarters are based in which Silicon Valley city?,Cupertino,Mountain View,Palo Alto,Santa Clara,Santa Clara,Medium
Which country is hosting the 2022 FIFA World Cup?,Bolivia,Qatar,Uganda,Vietnam,Qatar,Medium
What does LCD stand for?,Language Control Design,Last Common Difference,Liquid Crystal Display,Long Continuous Design,Liquid Crystal Display,Medium
Broome is a town in which state of Australia?,Northern Territory,South Australia,Tasmania,Western Australia,Western Australia,Medium
What is the Portuguese word for Brazil?,Bras&iacute;l,Brasil,Brasilia,Brazil,Brasil,Medium
In which English county is the city of Portsmouth?,Buckinghamshire,Hampshire,Oxfordshire,Surrey,Hampshire,Medium
Which soccer team won the Copa Am&eacute;rica Centenario 2016?,Argentina,Brazil,Chile,Colombia,Chile,Medium
The name of technology company HP stands for what?,Hellman-Pohl,Hewlett-Packard,Howard Packmann,Husker-Pollosk,Hewlett-Packard,Medium
"The Hippogriff, not to be confused with the Griffon, is a magical creature with the front half of an eagle, and the back half of what?",A Dragon,A Horse,A Lion,A Tiger,A Horse,Medium
Nephelococcygia is the practice of doing what?,Breaking glass with your voice,Finding shapes in clouds,Sleeping with your eyes open,Swimming in freezing water,Finding shapes in clouds,Hard
The ancient city of Chich&eacute;n Itz was built by which civilization?,Aztecs,Incas,Mayans,Toltecs,Mayans,Hard
The Maluku islands (informally known as the Spice Islands) belong to which country?,Chile,Fiji,Indonesia,New Zealand,Indonesia,Hard
Who is Manchester Uniteds leading appearance maker?,David Beckham,Eric Cantona,Ryan Giggs,Wayne Rooney,Ryan Giggs,Hard
What bird is born with claws on its wing digits?,Cassowary,Cormorant,Hoatzin,Secretary bird,Hoatzin,Hard
Which of the following is the standard THX subwoofer crossover frequency?,100 Hz,70 Hz,80 Hz,90 Hz,80 Hz,Hard
"With which Greek philosopher would you associate the phrase, I know that I know nothing?",Aristotle,Plato,Pythagoras,Socrates,Socrates,Hard
"In addition to his career as an astrologer and prophet, Nostradamus published a 1555 treatise that included a section on what?",Cheating at card games,Digging graves,Making jams and jellies,Teaching parrots to talk,Making jams and jellies,Hard
"What is the name of the formerly rich fishing grounds off the island of Newfoundland, Canada?",Grand Banks,Great Barrier Reef,Hudson Bay,Mariana Trench,Grand Banks,Hard
What was the real name of the Albanian national leader Skanderbeg?,Diturak Zhulati,Gjergj Kastrioti,Iskander Bejko,Mirash Krasniki,Gjergj Kastrioti,Hard
